A,K,L,M,N,O,P,B,C,D,E,F,G,H,I,J,Q,R,S,T
corrected time (hrs),F3 corr,F5 corr,F7 corr,F9 corr,F11 corr,F13 corr,D3 corr,d5 corr,d7 corr,d9 corr,d11 corr,d13 corr,,,,,,,
-0.54281,29.24761,25.79102,21.66768,19.17004,18.54488,18.30223,-10.14737,-8.31287,-7.10326,-6.37525,-5.43325,-5.10305,,,,,,,
-0.54223,29.24703,25.20578,21.72994,19.22992,18.51147,18.22059,-10.14465,-8.2078,-7.08337,-6.3468,-5.42493,-5.23428,,,,,,,
-0.54164,29.19104,25.63289,21.61864,19.21929,18.44634,17.95876,-10.12303,-8.2126,-7.11083,-6.37717,-5.39746,-5.08145,,,,,,,
-0.54106,29.03699,25.70583,21.738,19.19987,18.60735,18.26941,-10.0623,-8.15971,-7.11587,-6.3782,-5.4049,-4.97287,,,,,,,
-0.54047,29.00495,25.72818,21.70901,19.23608,18.41548,18.21589,-10.08216,-8.2939,-7.13861,-6.3677,-5.37443,-5.02677,,,,,,,
-0.53991,29.11456,25.66757,21.86285,19.14756,18.50843,18.23902,-10.04923,-8.19641,-7.12681,-6.3737,-5.3883,-5.14432,,,,,,,
-0.53933,29.18979,25.85246,21.77478,19.08594,18.44155,17.93673,-10.24011,-8.19587,-7.15398,-6.37215,-5.41809,-5.16348,,,,,,,
-0.53876,29.29765,25.8545,21.69068,19.18208,18.41137,18.32719,-10.10752,-8.23881,-7.13091,-6.39444,-5.39039,-5.08621,,,,,,,
-0.53818,29.10607,25.6546,21.60156,19.16563,18.36498,18.46029,-10.06286,-8.19285,-7.17191,-6.36179,-5.41358,-5.02069,,,,,,,
-0.53759,29.24015,25.7906,21.57869,19.16946,18.39195,18.00247,-10.15242,-8.20473,-7.1586,-6.36045,-5.42599,-5.15854,,,,,,,
-0.537,29.27857,25.60593,21.67488,19.20454,18.34656,18.37267,-10.15533,-8.11832,-7.18364,-6.35665,-5.42323,-5.13515,,,,,,,
-0.53641,29.15913,25.69165,21.75889,19.09774,18.45268,18.06609,-10.12227,-8.24283,-7.09912,-6.38627,-5.44549,-5.08598,,,,,,,
-0.53584,29.04024,25.82745,21.6155,19.23467,18.43032,18.13464,-10.17534,-8.26847,-7.12,-6.37936,-5.44294,-5.20789,,,,,,,
-0.53524,28.88572,25.8468,21.65549,19.16481,18.43725,17.80724,-10.14715,-8.26304,-7.25233,-6.37705,-5.45449,-5.19265,,,,,,,
-0.53466,29.08763,25.58271,21.85896,19.25379,18.60935,18.05226,-10.04581,-8.26387,-7.14306,-6.35796,-5.44727,-5.03101,,,,,,,
-0.53411,29.27126,25.49062,21.82151,19.17112,18.49227,17.99076,-10.17485,-8.15512,-7.13389,-6.38167,-5.42228,-5.17654,,,,,,,
-0.53358,28.92077,25.75584,21.69738,19.16295,18.45105,18.04295,-10.142,-8.23214,-7.20306,-6.36069,-5.46032,-5.15792,,,,,,,
-0.533,28.97056,25.56938,21.55582,19.17516,18.31524,18.31412,-10.2004,-8.22428,-7.08877,-6.34053,-5.41028,-5.09358,,,,,,,
-0.53241,29.07448,25.55812,21.72276,19.06744,18.45214,18.41971,-10.18951,-8.16818,-7.0866,-6.34014,-5.42409,-5.09941,,,,,,,
-0.53183,28.98289,25.6285,21.95417,19.1469,18.37498,18.44069,-10.03395,-8.2718,-7.14905,-6.35006,-5.42579,-5.15659,,,,,,,
-0.53125,29.17824,25.58878,21.63455,19.10076,18.41527,18.0254,-10.13458,-8.14546,-7.09327,-6.36096,-5.47098,-5.03468,,,,,,,
-0.53067,29.15771,25.53571,21.64562,19.18545,18.43868,18.07869,-10.12486,-8.19121,-7.1212,-6.36494,-5.4349,-5.18859,,,,,,,
-0.53009,29.09641,25.73806,21.61239,19.20131,18.45904,18.247,-10.04114,-8.21309,-7.10414,-6.3569,-5.36753,-5.01291,,,,,,,
-0.5295,29.07069,25.64204,21.55645,19.24148,18.44879,18.19935,-10.14132,-8.15358,-7.14827,-6.36035,-5.41854,-5.14133,,,,,,,
-0.52891,28.88424,25.80458,21.65033,19.24262,18.45463,18.19671,-10.19128,-8.18194,-7.10465,-6.33218,-5.44345,-5.02833,,,,,,,
-0.52832,29.19268,25.66496,21.75417,19.13951,18.32573,18.18973,-10.19062,-8.11798,-7.13227,-6.35849,-5.39051,-5.05942,,,,,,,
-0.52774,29.13637,25.5321,21.68981,19.10716,18.37423,18.28455,-10.19207,-8.16243,-7.1613,-6.37957,-5.41731,-5.15027,,,,,,,
-0.52717,29.26491,25.68339,21.49408,19.15125,18.39858,18.32233,-10.07075,-8.14552,-7.15407,-6.37517,-5.42614,-5.18144,,,,,,,
-0.52659,29.16932,25.48883,21.58679,19.15241,18.42897,18.33477,-10.11575,-8.23519,-7.14705,-6.36673,-5.45241,-5.10626,,,,,,,
-0.52601,29.0207,25.76496,21.68815,19.21692,18.24293,18.13693,-10.11335,-8.25577,-7.09045,-6.38474,-5.45201,-5.12219,,,,,,,
-0.52543,29.07615,25.57562,21.57718,19.17015,18.3162,18.35404,-10.00966,-8.34138,-7.10999,-6.36447,-5.42507,-5.15728,,,,,,,
-0.52486,29.05587,25.654,21.52729,19.15654,18.31578,18.05847,-10.06786,-8.23063,-7.15336,-6.38644,-5.42227,-5.02729,,,,,,,
-0.52428,28.95087,25.55108,21.60969,19.04896,18.37983,18.10992,-10.05826,-8.22228,-7.13905,-6.38409,-5.41333,-5.13643,,,,,,,
-0.52371,29.08228,25.37395,21.7438,19.10134,18.26936,18.20447,-10.13708,-8.24636,-7.20879,-6.36878,-5.42239,-5.12981,,,,,,,
-0.52312,29.03852,25.53918,21.67412,19.1386,18.43541,17.9792,-10.12023,-8.22047,-7.13402,-6.37664,-5.45277,-5.15888,,,,,,,
-0.52254,29.07611,25.65428,21.70113,19.10374,18.46289,18.41483,-10.10724,-8.17571,-7.16736,-6.38708,-5.37804,-5.12267,,,,,,,
-0.52195,28.8493,25.59914,21.65492,19.15553,18.26337,17.95027,-10.12294,-8.20365,-7.13403,-6.37798,-5.40122,-5.1434,,,,,,,
-0.52138,29.30083,25.42281,21.67263,19.12496,18.40654,18.02759,-10.16438,-8.19479,-7.2004,-6.36502,-5.34816,-5.12999,,,,,,,
-0.5208,29.06189,25.74042,21.58762,19.17833,18.45514,18.06616,-10.10187,-8.22461,-7.14306,-6.39746,-5.46903,-5.09904,,,,,,,
-0.52022,29.10965,25.43422,21.63663,19.09853,18.41895,17.99995,-10.1301,-8.23627,-7.10703,-6.37958,-5.36995,-5.15409,,,,,,,
-0.51964,29.0775,25.4533,21.68831,19.17041,18.4473,18.26523,-10.1512,-8.15431,-7.13209,-6.41522,-5.42804,-5.14544,,,,,,,
-0.51905,28.9872,25.58978,21.71847,19.1351,18.45421,18.00173,-10.07638,-8.24794,-7.12695,-6.36855,-5.43633,-5.11432,,,,,,,
-0.51847,29.1003,25.69922,21.7166,19.03744,18.34501,18.07933,-10.07488,-8.25009,-7.21124,-6.40603,-5.44229,-5.10864,,,,,,,
-0.51788,28.84471,25.57599,21.61733,19.24297,18.53052,17.92054,-10.10574,-8.25351,-7.09078,-6.37404,-5.46471,-5.00836,,,,,,,
-0.51731,28.91148,25.68389,21.75849,19.11575,18.44175,18.29133,-10.10358,-8.24667,-7.14203,-6.35264,-5.38914,-5.17189,,,,,,,
-0.51672,28.94911,25.52533,21.46475,19.10091,18.24946,18.03097,-10.14091,-8.2309,-7.13994,-6.35808,-5.42989,-5.12872,,,,,,,
-0.5161,28.98875,25.59539,21.62947,19.06108,18.58846,18.13683,-10.05237,-8.19789,-7.11669,-6.35955,-5.40137,-5.12194,,,,,,,
